Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
บริษัท เคทู จำกัด,บริษัท เคทู จำกัด,,"02-2765169-70, 08-2765898","65/4-6 Chokchai Ruammit , Wipawadee Rangsit Road Chom Phon , Chatuchak , Bangkok 10900 hailand.
",,,,,,,,,,,
บริษัท บลู สกาย บุ๊คส์ จำกัด,บริษัท บลู สกาย บุ๊คส์ จำกัด,,02-6915891,"65/4-6 Chokchai Ruammit , Wipawadee Rangsit Road Chom Phon , Chatuchak , Bangkok 10900 Thailand.",,,,,,,,,,,
บริษัท โกลเบิล พรีเมี่ยมไวน์ จำกัด,บริษัท โกลเบิล พรีเมี่ยมไวน์ จำกัด,,02-3482449,84 หมู่ที่ 16 ตำบลบางแก้ว อำเภอบางพลี จ.สมุทรปราการ 10540,,,,,,,,,,,
บริษัท เฮลธี่ โฮ จำกัด,บริษัท เฮลธี่ โฮ จำกัด,,0-2106-8972 #3203,206 ชั้น 3 ซ.พหลโยธิน 14 ถ.พหลโยธิน แขวงสามเสนใน  เขตพญาไท จ.กรุงเทพฯ 10400,,,,,,,,,,,
บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),,02-3671111,99 ซอยรูเบีย ถนนสุขุมวิท 42 แขวงพระโขนง เขตคลองเตย จ.กรุงเทพฯ 10110,,,,,,,,,,,
บริษัท สยามซอร์บิทอล จำกัด,บริษัท สยามซอร์บิทอล จำกัด,,02-2863467,1168/18 ชั้นที่ 13 อาคารลุมพินีทาวเวอร์ ถนนพระราม 4 แขวงทุ่งมหาเมฆ เขตสาทร จ.กรุงเทพฯ 10120,,,,,,,,,,,
บริษัท โวคลิฟวิ่ง  จำกัด ,บริษัท โวคลิฟวิ่ง  จำกัด ,,023692530,"50,52 ซ.รามคำแหง 21 (นวศรี) ถ.รามคำแหง แขวง/เขตวังทองหลาง กรุงเทพฯ 10310",,,,,,,,,,,
