Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"ไม้กะบาก 6""x1""x2.00 ม.",0200200062000,code128,ไม่ระบุ,02,007,007,,152.23,180,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 6""x1""x2.50 ม.",0200200062500,code128,ไม่ระบุ,02,007,007,,190.29,225,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 6""x1""x3.00 ม.",0200200063000,code128,ไม่ระบุ,02,007,007,,228.35,270,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 6""x1""x3.50 ม.",0200200063500,code128,ไม่ระบุ,02,007,007,,266.40,315,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 6""x1""x4.00 ม.",0200200064000,code128,ไม่ระบุ,02,007,007,,304.46,360,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 6""x1""x4.50 ม.",0200200064500,code128,ไม่ระบุ,02,007,007,,342.52,405,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 6""x1""x5.00 ม.",0200200065000,code128,ไม่ระบุ,02,007,007,,380.58,450,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 6""x1""x5.50 ม.",0200200065500,code128,ไม่ระบุ,02,007,007,,418.64,495,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 6""x1""x6.00 ม.",0200200066000,code128,ไม่ระบุ,02,007,007,,456.69,540,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x1.00 ม.",0200200081000,code128,ไม่ระบุ,02,007,007,,101.65,120,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x1.50 ม.",0200200081500,code128,ไม่ระบุ,02,007,007,,152.48,180,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x2.00 ม.",0200200082000,code128,ไม่ระบุ,02,007,007,,203.3,240,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x2.50 ม.",0200200082500,code128,ไม่ระบุ,02,007,007,,254.13,300,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x3.00 ม.",0200200083000,code128,ไม่ระบุ,02,007,007,,304.95,360,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x3.50 ม.",0200200083500,code128,ไม่ระบุ,02,007,007,,355.78,420,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x4.00 ม.",0200200084000,code128,ไม่ระบุ,02,007,007,,406.6,480,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x4.50 ม.",0200200084500,code128,ไม่ระบุ,02,007,007,,457.43,540,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x5.00 ม.",0200200085000,code128,ไม่ระบุ,02,007,007,,508.25,600,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x5.50 ม.",0200200085500,code128,ไม่ระบุ,02,007,007,,559.08,660,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 8""x1""x6.00 ม.",0200200086000,code128,ไม่ระบุ,02,007,007,,609.9,720,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x1.00 ม.",0200200101000,code128,ไม่ระบุ,02,007,007,,127.33,150,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x1.50 ม.",0200200101500,code128,ไม่ระบุ,02,007,007,,191,225,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x2.00 ม.",0200200102000,code128,ไม่ระบุ,02,007,007,,254.66,300,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x2.50 ม.",0200200102500,code128,ไม่ระบุ,02,007,007,,318.33,375,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x3.00 ม.",0200200103000,code128,ไม่ระบุ,02,007,007,,382,450,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x3.50 ม.",0200200103500,code128,ไม่ระบุ,02,007,007,,445.66,525,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x4.00 ม.",0200200104000,code128,ไม่ระบุ,02,007,007,,509.32,600,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x4.50 ม.",0200200104500,code128,ไม่ระบุ,02,007,007,,573,675,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x5.00 ม.",0200200105000,code128,ไม่ระบุ,02,007,007,,636.65,750,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x5.50 ม.",0200200105500,code128,ไม่ระบุ,02,007,007,,700,825,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้กะบาก 10""x1""x6.00 ม.",0200200106000,code128,ไม่ระบุ,02,007,007,,764,900,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x1.00 ม.",0200300031000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x1.50 ม.",0200300031500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x2.00 ม.",0200300032000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x2.50 ม.",0200300032500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x3.00 ม.",0200300033000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x3.50 ม.",0200300033500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x4.00 ม.",0200300034000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x4.50 ม.",0200300034500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x5.00 ม.",0200300035000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x5.50 ม.",0200300035500,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 3""x1.5""x6.00 ม.",0200300036000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x1.00 ม.",0200300031000,code128,ไม่ระบุ,02,007,007,,0,190,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x1.50 ม.",0200300031500,code128,ไม่ระบุ,02,007,007,,0,280,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x2.00 ม.",0200300032000,code128,ไม่ระบุ,02,007,007,,0,380,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x2.50 ม.",0200300032500,code128,ไม่ระบุ,02,007,007,,0,475,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x3.00 ม.",0200300033000,code128,ไม่ระบุ,02,007,007,,0,570,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x3.50 ม.",0200300033500,code128,ไม่ระบุ,02,007,007,,0,665,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
