Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
เหล็กตัวซี 3 ขาว,0100040110003,code128,ไม่ระบุ,01,004,004,  ,419.63,500,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 3 ซิงค์ (1.5),0100040110702,code128,ไม่ระบุ,01,004,004,  ,342,407,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 4 เหลือง,0100040120001,code128,ไม่ระบุ,01,004,004,  ,377,439,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 4 ส้ม,0100040120002,code128,ไม่ระบุ,01,004,004,  ,454,546,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 4 ขาว,0100040120003,code128,ไม่ระบุ,01,004,004,  ,512.15,600,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 4 ซิงค์ (1.5),0100040120702,code128,ไม่ระบุ,01,004,004,  ,429,503,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 5 เหลือง,0100040130001,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 5 ส้ม,0100040130002,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 5 ขาว,0100040130003,code128,ไม่ระบุ,01,004,004,  ,500,578,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 6 เหลือง,0100040140001,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 6 ส้ม,0100040140002,code128,ไม่ระบุ,01,004,004,  ,480,589,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กตัวซี 6 ขาว,0100040140003,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกล่อง 6 หุน เหลือง,0100050050001,code128,ไม่ระบุ,01,004,004,  ,101,128,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกล่อง 6 หุน ส้ม,0100050050002,code128,ไม่ระบุ,01,004,004,  ,121,155,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกล่อง 6 หุน ขาว,0100050050003,code128,ไม่ระบุ,01,004,004,  ,153,193,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1""x1"" เหลือง",0100050060001,code128,ไม่ระบุ,01,004,004,  ,117,163,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1""x1"" ส้ม",0100050060002,code128,ไม่ระบุ,01,004,004,  ,141,182,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
